Client UID,Counsellor,Program Name,Service Location,Assessment Date,Assessment Duration,Language Served,Assessment Type,Format,Setl Asset None,Setl Asset Family,Setl Asset Knowledge Canada,Setl Asset Motivation,Setl Asset Other,Live in Canada Needs,Basic Needs (BN),BN IRCC referral,BN non-IRCC referral ,Family Needs (FN),BN IRCC referral_1,BN non-IRCC referral,Health Needs (HN),HN IRCC referral,HN non-IRCC referral,Housing Needs (HoN),HoN IRCC referral,HoN non-IRCC referral,Knowledge Goverment Services (KGS),KGS IRCC referral,KGS nonIRCC referral,Knowledge Canada (KC),KC IRCC referral,KC nonIRCC referral,Legal Needs (LN),LN IRCC referral,LN non-IRCC referral,Financial Needs (FN),FN IRCC referral,FN non-IRCC referral,Community Knowlede (CK),KN IRCC referral,KN Non-IRCC referral,Networking Needs (NN),NN IRCC referral,NN non-IRCC referral,Racism-Discrimination (RD),RD IRCC referral,RD non-IRCC referral,Language Asset None,Language Asset Sufficient Know. English,Language Asset Sufficient Know. French,Language Asset Other,Language Needs,Official Language Needs (OL),OL_language_en,OL_language_fr,OL IRCC referral,OL non-IRCC referral,Literacy (LI),LI_language_en,LI_language_fr,LI IRCC referral,LI non-IRCC referral,Language For Employemnt (LE),LE_language_en,LE_language_fr,LE IRCC referral,LE non-IRCC referral,Employment Asset Currently employed,Employment Asset Foreign Credential,Employment Asset Knoweldge Labout Market,Employment Asset Post Secondary in Canada,Employment Asset Post Secondary out Canada,Employment Asset Previous Empl. Canada,Employment Asset Taking Training,Employment Asset Work Experience,Employment Asset Other,Employment Needs,Knowledge Labour Market (KLM),KLM IRCC referral,KLM non-IRCC referral,Finding Employment (FE),FE IRCC referral,FE non-IRCC referral,Credentials (CRED),CRED IRCC referral,CRED non-IRCC referral,Education Needs (EDU),EDU non-IRCC referral,EDU IRCC referral,Required Childcare,Required Digital Equip,Required Digital Support,Required Interpretation,Required Short-Term,Required Transportation,Required Translation,data_source_month,de8adb846b68f2e6d78d2fe9d88a3a2a,Birthdate,Gender,Country of Origin,Language,Postal Code,immigration_class,Arrival Date,Landing Date,age,years_in_canada,months_since_landing
9219abc4908f00e1f4f5d0c30166073e,Gurpreet,Orientation - Brampton,Brampton,2025-06-20,1.0,English,,Phone-Email,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,Y,N,N,Y,N,N,N,Y,N,N,Y,Y,English,,Y,N,Y,Y,N,N,N,Y,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Jun,,1985-03-25,Male,Jamaica,English,L6S4J1,Family Sponsorship,2021-10-02,2021-10-02,41.0,4.48,53.8
28fa2242389a1a58e4908b7f98b278ed,Amy,Orientation - Mississauga,Mississauga,2025-06-02,1.0,English,Initial,Phone-Email,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,,,N,N,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,Jun,,2013-09-25,Male,Pakistan,Urdu,L5N0C7,Federal Skilled Worker,2024-04-25,2024-04-25,12.5,1.92,23.0
5c7cca821e982a8cf80938776039fbad,Amy,Orientation - Mississauga,Mississauga,2025-06-02,1.0,English,Initial,Phone-Email,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,,,N,N,Y,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,Jun,,2017-08-19,Male,Pakistan,Urdu,L5N0C7,Federal Skilled Worker,2024-04-25,2024-04-25,8.6,1.92,23.0
537e326dc0265d070f5b0ca6dd85dfea,Daljeet,Orientation - Brampton,Brampton,2025-06-02,1.0,English,,In-person,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Jun,,1992-07-21,Female,India,Punjabi,L7A1M6,Permanent Resident,2017-05-02,2022-01-15,33.7,8.9,50.3
6d0bb56dcf3e5117f04b843959ca734e,Daljeet,Orientation - Brampton,Brampton,2025-06-02,1.0,Urdu,Initial,In-person,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Jun,,1991-08-28,Male,Pakistan,Urdu,L6R3R7,Other Refugee,2019-05-30,2019-05-30,34.6,6.83,81.9
a7f919dfa2e385834ae2033c5e5ebb8a,Maripi,Settlement Integration Place,Toronto SIP,2025-06-02,1.0,English,Initial,In-person,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,Y,English,,N,N,Y,Y,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Jun,,1965-02-03,Male,Bangladesh,Bengali,M1J2H6,Refugee Class,2024-11-09,2024-11-09,61.1,1.38,16.5
70934865339cee314856bd9a617b0730,Maripi,Settlement Integration Place,Toronto SIP,2025-06-02,1.0,English,Initial,In-person,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Jun,,1984-10-29,Female,Philippines,Tagalog,M1J2H6,Caregiver Pathway,2024-01-03,2024-01-03,41.4,2.23,26.7
acb883b5cb26cbb24779611906cebc89,Wenxiu,Library Settlement Program,Agincourt Library,2025-06-02,1.5,Mandarin,Initial,In-person,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,Y,Y,Y,English,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,Jun,,1985-06-12,Male,China,Mandarin,L3R6T1,Convention Refugee,2024-04-17,2024-04-17,40.8,1.94,23.3
1e57e91fa687d762b584dba85b295e15,Wenxiu,Library Settlement Program,Agincourt Library,2025-06-02,1.5,Mandarin,Initial,In-person,N,N,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,English,,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Jun,,1991-04-07,Female,China,Mandarin,L3R6T1,Convention Refugee,2024-04-17,2024-04-17,35.0,1.94,23.3
794d1e00f5e4d9a3ebdadc542b6b3b12,Wenxiu,Library Settlement Program,Agincourt Library,2025-06-02,1.5,Mandarin,Initial,In-person,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Jun,,2014-08-01,Male,China,Mandarin,L3R6T1,Convention Refugee,2024-04-17,2024-04-17,11.7,1.94,23.3
