Client UID,Number of Assessments,First Assessment Date,Last Assessment Date,Months Assessed,Days Between First and Last
nan,554,2025-12-01,2025-12-31,Dec,30
328fba31bdaa74d4db001faea1a50a81,3,2025-06-16,2025-08-12,"Aug, Jul, Jun",57
451717ce47bddd8d11dd359c7150179e,3,2025-06-17,2025-08-28,"Aug, Jul, Jun",72
3ad554069101b3135fdb2f73c7dc461e,3,2025-06-18,2025-09-29,"Jun, Sep",103
74ebeb1f596b09252b0b70e2f986526b,3,2025-07-07,2025-07-16,Jul,9
086a76082607d9b750a5be7f99d1995f,3,2025-06-27,2025-08-08,"Aug, Jul, Jun",42
3416a4b4df7e51de95e0f0d941891398,3,2025-06-25,2025-11-24,"Jul, Jun, Nov",152
2ecbe94de894a0b55d3679b946381d7b,3,2025-06-03,2025-10-02,"Aug, Jun, Oct",121
802a8bf5456c0595358befbbe658150f,3,2025-06-16,2025-09-23,"Jul, Jun, Sep",99
8a35e51c8e96869d04212487e152defc,3,2025-06-18,2025-08-01,"Aug, Jul, Jun",44
97601630e196121f78b3acba489098ce,3,2025-06-27,2025-10-14,"Jul, Jun, Oct",109
9985269e168a656ab260017623beeab1,3,2025-07-09,2025-11-01,"Jul, Nov, Sep",115
9d61e41ff10797e9790e7569ad6f11ff,3,2025-07-17,2025-11-14,"Aug, Jul, Nov",120
9e69ca1eecaf1980046634b7559d5d68,3,2025-07-09,2025-09-08,"Aug, Jul, Sep",61
a1198330cdb177951c39b2e09994c258,3,2025-06-17,2025-08-28,"Aug, Jul, Jun",72
ad41ae4fa174bdff6cd28ad6786bea9c,3,2025-06-10,2025-09-02,"Jul, Jun, Sep",84
ade56d321fe616767e0cf5dc242c4083,3,2025-06-04,2025-11-24,"Aug, Jun, Nov",173
ae8da3d0e96ed8c427accdf8c51cb3a8,3,2025-06-03,2025-10-02,"Aug, Jun, Oct",121
b139c584c3c76e3710d118a8ae12831b,3,2025-06-10,2025-09-02,"Jul, Jun, Sep",84
b359ed5cc4f3d5d24e046e627db206a9,3,2025-06-20,2025-09-17,"Jul, Jun, Sep",89
b49779e716d50a5ac15be4e1980e6bce,3,2025-06-16,2025-09-23,"Jul, Jun, Sep",99
bcff8cf47c90894f0ee7b7af4162b84d,3,2025-06-20,2025-09-19,"Jul, Jun, Sep",91
bec2a88692e32fd0f5e1cd6a53b9f316,3,2025-07-10,2025-11-27,"Aug, Jul, Nov",140
eb682025bad6965d858902f1234e44c4,3,2025-06-17,2025-08-28,"Aug, Jul, Jun",72
0fa6dd29a79806a4a90144244b0c583f,3,2025-06-10,2025-08-11,"Aug, Jul, Jun",62
1a74355b306861f1c5da3647730f4e11,3,2025-06-27,2025-10-07,"Jul, Jun, Oct",102
c5710a1580bc19c4c924e876c6791e6b,2,2025-06-03,2025-09-26,"Jun, Sep",115
c752869ef2285f1c0ef6d0f25e5308c0,2,2025-06-25,2025-09-16,"Jun, Sep",83
036272ccf060385e159afc428538915c,2,2025-08-01,2025-09-26,"Aug, Sep",56
c90cd76c13a2cf40bf7c00293d7b2784,2,2025-07-18,2025-08-06,"Aug, Jul",19
c947c521334793eff885b679661aae4b,2,2025-10-08,2025-11-05,"Nov, Oct",28
c96ea40d985e54a202c13c2b908793fe,2,2025-07-16,2025-08-23,"Aug, Jul",38
c9fb408a22333a7d14167df71e7426b4,2,2025-08-05,2025-11-29,"Aug, Nov",116
ca9dc18fe49cf3175cfad480ff88aedf,2,2025-08-14,2025-08-18,Aug,4
cbe57b97ac93af5515eea06564e6eb18,2,2025-07-22,2025-09-11,"Jul, Sep",51
cc7b63e97cd76580fb86faca9d25ed53,2,2025-06-24,2025-09-16,"Jun, Sep",84
cc7fbd494f1df6a4468e33afb2780c2b,2,2025-06-05,2025-09-19,"Jun, Sep",106
cd491df31e3670b32f31619e5031f674,2,2025-06-05,2025-10-08,"Jun, Oct",125
cd8e3aa1062b66dfd73fd61865028cee,2,2025-08-12,2025-09-09,"Aug, Sep",28
d1074344bc53e39f11eb8fba8d80cbfa,2,2025-07-18,2025-08-14,"Aug, Jul",27
d44ff3a44a31d74703cb359c7416c750,2,2025-06-10,2025-09-02,"Jun, Sep",84
d47d98455cf3295b9d271a75b67825c9,2,2025-06-20,2025-07-09,"Jul, Jun",19
d49c272c1631af1f56184df4f4204d35,2,2025-06-24,2025-09-27,"Jun, Sep",95
d5a154c96fb5c7d99c35cd5ad19e02ed,2,2025-06-04,2025-09-23,"Jun, Sep",111
d8c9c82d2cd42ea4da958f061bda4f9c,2,2025-06-27,2025-07-11,"Jul, Jun",14
d92ad1d51b99d65ad706a34785a71181,2,2025-07-24,2025-08-11,"Aug, Jul",18
da6de1e2a7a8cf1e710d62b7827c3dde,2,2025-07-18,2025-07-21,Jul,3
de73a440de463a6dc6260d84b7e3fa47,2,2025-07-17,2025-10-14,"Jul, Oct",89
defec3a8f5a19ce8eeee66599124e1c1,2,2025-06-02,2025-07-14,"Jul, Jun",42
df93e7712092e0755dfd5dc7e5fb1f3d,2,2025-06-27,2025-09-29,"Jun, Sep",94
dfdaa8c15bb6259c543581af95f3034c,2,2025-06-25,2025-07-18,"Jul, Jun",23
e06a9a210be4f8d9382ab79958d98dc1,2,2025-06-02,2025-09-04,"Jun, Sep",94
00772416725534e7979f6bf53f7046db,2,2025-07-18,2025-08-18,"Aug, Jul",31
2800bf5603def6922063fbeb2aba2be7,2,2025-09-02,2025-11-04,"Nov, Sep",63
28229a04b1887b23ed16a49eac31111e,2,2025-07-16,2025-08-05,"Aug, Jul",20
28fa2242389a1a58e4908b7f98b278ed,2,2025-06-02,2025-09-22,"Jun, Sep",112
2a6f5532504f1fedc06d41c7099716ed,2,2025-06-04,2025-07-03,"Jul, Jun",29
2aa68a348ac4132077e93f0a3252e240,2,2025-06-04,2025-07-17,"Jul, Jun",43
2e09ea816709d4e10477dd6451aeb9bd,2,2025-06-02,2025-07-07,"Jul, Jun",35
2ea6f651cfb35cebfc513e6c22f7d834,2,2025-07-21,2025-07-21,Jul,0
32b7ab87712f7bbb62226e6b84782e46,2,2025-06-25,2025-09-16,"Jun, Sep",83
32bb2c3336598357bc02e669c4a70bbd,2,2025-06-24,2025-07-22,"Jul, Jun",28
32d7c705eaaaac11f0b82563b04c5f17,2,2025-08-21,2025-10-02,"Aug, Oct",42
34ef1dd826a6065db10f66399ff853a0,2,2025-10-20,2025-11-06,"Nov, Oct",17
365115cdb6b4f0a610988f82fd27e04f,2,2025-06-04,2025-07-18,"Jul, Jun",44
37b7c2e0340e98019b8e88e7fb01ac18,2,2025-08-12,2025-09-09,"Aug, Sep",28
388eff785b07006c031b5f5649f698c6,2,2025-09-26,2025-11-12,"Nov, Sep",47
39a52e4a8742340691efab2e48e7b0a7,2,2025-06-25,2025-07-21,"Jul, Jun",26
3a60fcd8a2226cb4b32a8d5e445a051a,2,2025-06-03,2025-07-23,"Jul, Jun",50
3ab07bd0fb991f4a2f915460d01dba56,2,2025-06-02,2025-07-09,"Jul, Jun",37
3aef21851df8382742618297e1511828,2,2025-07-18,2025-08-06,"Aug, Jul",19
3b2aee4008b1f7764fa0ff855a7ff570,2,2025-06-25,2025-07-09,"Jul, Jun",14
3b9129360509490430899e4217e12cc5,2,2025-06-12,2025-09-18,"Jun, Sep",98
3cf00d7b3dbb66bdf8f4ed7014d13b4c,2,2025-10-20,2025-11-06,"Nov, Oct",17
4056af9dcb847d6b8581cc261d5ee445,2,2025-10-20,2025-11-06,"Nov, Oct",17
40bf59898c4ae47218c5fdf54318ee5f,2,2025-09-03,2025-09-11,Sep,8
42856935c3536a7812db17c786387b56,2,2025-07-18,2025-10-16,"Jul, Oct",90
45530e066f28750000a76d952b02a2dc,2,2025-08-01,2025-09-05,"Aug, Sep",35
456fd237603d13fa4ec41a3de94ee357,2,2025-06-26,2025-09-04,"Jun, Sep",70
460e5d69a5143c72eea0abe3eb37fdb1,2,2025-06-20,2025-07-18,"Jul, Jun",28
4735d127242a5e3b18ec8bf01a071d62,2,2025-06-23,2025-07-17,"Jul, Jun",24
477caab650f1a8fd8ad2f1afd2e685e2,2,2025-07-22,2025-09-23,"Jul, Sep",63
47bcbb3c2e5011f12a99c88c700cb3f9,2,2025-07-18,2025-09-04,"Jul, Sep",48
48497c05d4ba37bb8b9dd59b531ad270,2,2025-06-05,2025-07-17,"Jul, Jun",42
49b5e9683f0f47d56e2a67bb0f26e523,2,2025-10-10,2025-10-29,Oct,19
4cb3f8c48654545652c51e1288fd6d0b,2,2025-06-25,2025-07-16,"Jul, Jun",21
4d7ebe800ad51ad1e6f231babb806688,2,2025-06-05,2025-09-19,"Jun, Sep",106
4dfd18ba02aa4a18d5ed5631e882f630,2,2025-07-17,2025-10-28,"Jul, Oct",103
4e5c61535af8e53ed795e4f2d3fbde21,2,2025-07-09,2025-08-06,"Aug, Jul",28
